Gene_Name,Correlation,P_Value
MIGA1_ENST00000645526,0.180608266587834,P < 0.001
FNDC3B,0.27234413405266,P < 0.001
SPATA3,0.124942325703914,P < 0.001
NLRC3,0.292777845571259,P < 0.001
AMER1,0.175552189757252,P < 0.001
ZNF598,0.180694237252005,P < 0.001
HS3ST4,0.192961996475367,P < 0.001
SP140,0.177148303160126,P < 0.001
PDGFRA,0.158569950458655,P < 0.001
WDR6,0.162184774826298,P < 0.001
SCARF1,0.120159238246698,P < 0.001
INPP4A,0.237338030568975,P < 0.001
BTD,0.247081582362728,P < 0.001
ACBD6,0.204910829950434,P < 0.001
ATP11C,0.239567483872331,P < 0.001
POLDIP3,0.221543916820028,P < 0.001
TRAPPC10,0.249535747752351,P < 0.001
AKAP7,0.179377156637588,P < 0.001
CACNG4,0.169551442292678,P < 0.001
ASPRV1,0.200553305897167,P < 0.001
P4HB,0.202609075417192,P < 0.001
KLHL23,0.168520436726219,P < 0.001
ZNF48,0.131797436014957,P < 0.001
ABCC3,0.360339171299409,P < 0.001
ARHGEF16,0.256860780512772,P < 0.001
IL31,0.137094512374218,P < 0.001
SLC7A1,0.126667380170775,P < 0.001
EIF3M,0.231803500153025,P < 0.001
